断背山, 8.9, https://maoyan.com/films/14652,  剧情 ,         美国,加拿大          ,  134分钟        , 2005-09-03美国上映
控方证人, 8.5, https://maoyan.com/films/4430,  剧情 ,         美国          ,  116分钟        , 1957-12-17美国上映
蝙蝠侠：黑暗骑士, 9.3, https://maoyan.com/films/790,  剧情 ,         美国,英国          ,  152分钟        , 2008-07-14美国上映
两杆大烟枪, 8.7, https://maoyan.com/films/2204,  剧情 ,         英国          ,  107分钟        , 1998-08-28英国上映
十二怒汉, 9.1, https://maoyan.com/films/2049,  剧情 ,         美国          ,  96分钟        , 1957-04-13美国上映
时空恋旅人, 8.9, https://maoyan.com/films/78312,  喜剧 ,         英国          ,  123分钟        , 2013-09-04英国上映
血战钢锯岭, 9.3, https://maoyan.com/films/338349,  剧情 ,         澳大利亚,美国          ,  139分钟        , 2016-12-08中国大陆上映
网络谜踪, 8.6, https://maoyan.com/films/1219776,  剧情 ,         美国          ,  102分钟        , 2018-12-14中国大陆上映
真爱至上, 8.6, https://maoyan.com/films/1379,  剧情 ,         英国,美国,法国          ,  135分钟        , 2003-11-21英国上映
猫鼠游戏, 8.6, https://maoyan.com/films/11105,  剧情 ,         美国,加拿大          ,  141分钟        , 2003-04-11中国大陆上映
奇迹男孩, 9.2, https://maoyan.com/films/672130,  剧情 ,         美国          ,  113分钟        , 2018-01-19中国大陆上映
大鱼, 8.6, https://maoyan.com/films/1202,  剧情 ,         美国          ,  125分钟        , 2003-12-04美国上映
致命魔术, 8.8, https://maoyan.com/films/20131,  剧情 ,         美国,英国          ,  130分钟        , 2006-10-17美国上映
饮食男女, 8.8, https://maoyan.com/films/1233,  剧情 ,         中国台湾,美国          ,  124分钟        , 1994-08-03美国上映
钢琴家, 8.9, https://maoyan.com/films/4883,  剧情 ,         法国,德国,英国,波兰          ,  150分钟        , 2002-05-24法国上映
模仿游戏, 9.3, https://maoyan.com/films/78646,  剧情 ,         英国          ,  114分钟        , 2015-07-21中国大陆上映
禁闭岛, 8.7, https://maoyan.com/films/907,  剧情 ,         美国          ,  138分钟        , 2010-02-17美国上映
蜘蛛侠：平行宇宙, 8.8, https://maoyan.com/films/1212512,  动画 ,         美国          ,  116分钟        , 2018-12-21中国大陆上映
